iter	Passed	Remaining
0	161	161552
1	190	94962
2	219	72918
3	247	61630
4	275	54767
5	305	50639
6	337	47904
7	364	45182
8	392	43266
9	423	41975
10	451	40592
11	488	40192
12	520	39549
13	550	38786
14	580	38096
15	608	37448
16	635	36765
17	664	36249
18	690	35635
19	714	35022
20	737	34393
21	764	34000
22	788	33505
23	811	33006
24	854	33325
25	879	32958
26	911	32841
27	940	32654
28	975	32669
29	1009	32632
30	1040	32531
31	1072	32455
32	1151	33730
33	1178	33483
34	1205	33247
35	1233	33024
36	1256	32708
37	1280	32408
38	1309	32269
39	1335	32050
40	1370	32049
41	1413	32248
42	1455	32389
43	1494	32476
44	1535	32579
45	1574	32657
46	1612	32704
47	1651	32747
48	1678	32567
49	1704	32383
50	1730	32194
51	1757	32044
52	1784	31894
53	1811	31743
54	1837	31567
55	1863	31407
56	1890	31277
57	1927	31301
58	1964	31338
59	2002	31374
60	2039	31391
61	2088	31604
62	2136	31782
63	2174	31801
64	2205	31729
65	2232	31590
66	2261	31491
67	2288	31369
68	2316	31251
69	2343	31140
70	2371	31033
71	2400	30943
72	2433	30904
73	2465	30848
74	2493	30748
75	2521	30661
76	2551	30579
77	2577	30469
78	2604	30359
79	2630	30245
80	2654	30119
81	2681	30020
82	2705	29888
83	2733	29810
84	2772	29849
85	2813	29900
86	2850	29910
87	2907	30128
88	2956	30261
89	2994	30274
90	3025	30221
91	3054	30142
92	3082	30066
93	3111	29985
94	3138	29894
95	3165	29808
96	3200	29795
97	3237	29793
98	3275	29811
99	3323	29910
100	3360	29914
101	3402	29953
102	3440	29961
103	3468	29878
104	3497	29810
105	3525	29731
106	3556	29678
107	3582	29585
108	3610	29516
109	3642	29468
110	3684	29511
111	3732	29590
112	3772	29615
113	3833	29796
114	3886	29911
115	3926	29922
116	3953	29840
117	3983	29776
118	4009	29682
119	4038	29616
120	4079	29635
121	4128	29711
122	4177	29788
123	4214	29776
124	4255	29788
125	4296	29801
126	4324	29730
127	4352	29651
128	4385	29612
129	4413	29533
130	4438	29443
131	4464	29359
132	4495	29304
133	4523	29231
134	4550	29153
135	4582	29110
136	4609	29036
137	4634	28951
138	4660	28870
139	4689	28807
140	4717	28741
141	4743	28661
142	4779	28646
143	4813	28612
144	4847	28582
145	4877	28528
146	4911	28502
147	4938	28430
148	4965	28358
149	4989	28276
150	5016	28207
151	5043	28134
152	5069	28063
153	5095	27991
154	5122	27926
155	5153	27882
156	5181	27820
157	5211	27771
158	5242	27728
159	5275	27698
160	5304	27641
161	5336	27606
162	5369	27569
163	5401	27533
164	5431	27484
165	5459	27427
166	5498	27428
167	5541	27442
168	5583	27455
169	5619	27438
170	5658	27434
171	5692	27403
172	5721	27351
173	5751	27303
174	5776	27231
175	5802	27168
176	5836	27139
177	5875	27133
178	5904	27083
179	5937	27047
180	5971	27018
181	5998	26962
182	6030	26922
183	6060	26876
184	6090	26829
185	6141	26878
186	6191	26919
187	6226	26894
188	6281	26954
189	6322	26954
190	6359	26938
191	6394	26911
